ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
102,4,3350,312,1890,106,0,12,964,2,1348,151,510,199,264,43,17,60,6,21,0,69723,96,746,0,73,1259,3,13,71,0,2,24,2,Benign
14,4,324,17,374,10,4,7,4,0,4,17,98,5,36,7,7,44,1,21,0,7852,2,10,0,0,226,2,1,12,0,4,2,1,Malicious
22,2,337,23,832,11,5,13,24,0,8,17,139,4,77,6,58,64,0,9,1,28310,7,12,0,0,187,5,5,22,7,9,2,1,Malicious
1,0,23,0,18866,0,0,1,1,0,0,0,10,1,5,1,1,11,2,1,1,52156,0,2,0,0,110,0,1,0,2,1,0,0,Malicious
6,0,102,13,36,1,0,0,0,0,0,0,40,1,5,0,10,0,15,0,0,2290,0,31,0,4,33,1,0,4,0,0,0,0,Benign
1,0,69,2,36,0,0,0,0,0,0,3,31,0,1,3,373,0,0,2,1,13789,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
547,107,7304,658,1943,495,56,47,388,0,546,525,1342,364,916,122,9,54,86,120,0,86847,124,470,3,223,857,8,10,268,7,33,24,0,Benign
24,0,258,22,108,33,0,1,38,0,57,13,40,0,66,2,4,0,4,1,0,3605,5,15,0,12,33,0,0,16,1,0,3,0,Benign
172,2,1419,100,450,78,6,25,38,0,30,56,578,21,186,6,6,64,66,5,1,31916,9,63,1,23,177,15,3,39,2,17,4,1,Benign
108,16,1533,60,380,225,0,13,53,0,61,52,166,91,133,23,9,31,22,5,0,16015,5,121,0,23,238,3,8,26,2,1,2,6,Benign
0,0,9,3,92,0,0,0,32,0,118,2,7,0,1,0,712,0,0,0,0,74946,0,2,0,1,92,0,0,0,0,0,1,0,Benign
679,48,9233,610,2339,1345,16,174,406,0,545,521,1239,416,972,113,7,287,17,102,0,96854,101,369,0,158,1099,24,37,110,10,12,28,15,Benign
16,2,947,37,177,38,0,2,11,0,28,9,77,152,29,2,16,22,8,4,0,10994,21,105,0,15,106,2,0,6,0,1,0,0,Benign
